Pclass,Survived,Sex,Fare,SibSp,Parch,AgeCategory
3,0,1,0.014151057562208049,1,0,4
1,1,0,0.13913573538264068,1,0,5
3,1,0,0.015468569817999833,0,0,4
1,1,0,0.10364429745562033,1,0,5
3,0,1,0.015712553569072387,0,0,5
3,0,1,0.01650950209357577,0,0,0
1,0,1,0.10122885832000206,0,0,5
3,0,1,0.04113566043083236,3,1,2
3,1,0,0.021730754366528396,0,2,4
2,1,0,0.058694292654020104,1,0,3
3,1,0,0.03259622914329302,1,1,2
1,1,0,0.051822148727810165,0,0,5
3,0,1,0.015712553569072387,0,0,4
3,0,1,0.06104473451835265,1,5,5
3,0,0,0.015330377421392339,0,0,3
2,1,0,0.03122992013728673,0,0,5
3,0,1,0.056848213999904744,4,1,2
2,1,1,0.025374310111545468,0,0,0
3,0,0,0.03513366015444757,1,0,4
3,1,0,0.014102260811993537,0,0,0
2,0,1,0.050748620223090936,0,0,5
3,1,0,0.015671954672893913,0,0,3
1,1,1,0.06929138530460492,0,0,4
3,0,0,0.04113566043083236,3,1,2
3,1,0,0.061264319894317944,1,5,5
3,0,1,0.014102260811993537,0,0,0
1,0,1,0.5133418122566505,3,2,4
3,1,0,0.01537917417160685,0,0,0
3,0,1,0.015411575213749284,0,0,0
1,0,1,0.05410739813385612,0,0,5
1,1,0,0.2859895551532101,1,0,0
3,1,0,0.015126992566498259,0,0,0
2,0,1,0.020494635090094415,0,0,6
1,0,1,0.16038672010106,1,0,4
1,0,1,0.10149724044618187,1,0,5
3,1,1,0.014110458666029575,0,0,0
3,0,1,0.015712553569072387,0,0,4
3,0,0,0.03513366015444757,2,0,4
3,1,0,0.021942337075458514,1,0,3
3,0,0,0.018493968331299484,1,0,5
2,0,0,0.04098927018018883,1,0,4
3,0,1,0.015411575213749284,0,0,0
2,1,0,0.08115719346076702,1,2,2
3,1,0,0.01537917417160685,0,0,4
3,0,1,0.015712553569072387,0,0,0
3,0,1,0.030253985132996517,1,0,0
3,1,0,0.015126992566498259,0,0,0
3,0,1,0.04231498029001666,2,0,0
3,0,0,0.034743286152731485,1,0,4
3,0,1,0.07746484096553544,4,1,2
3,0,1,0.01522458606692728,0,0,4
2,1,0,0.050748620223090936,1,0,4
1,0,1,0.1209753416358076,0,1,6
1,1,1,0.06929138530460492,0,0,0
2,1,0,0.020494635090094415,0,0,4
3,0,1,0.014110458666029575,0,0,4
2,1,0,0.05416439273810667,1,2,2
3,0,1,0.09154270340242172,5,2,2
3,0,1,0.014110458666029575,0,0,4
1,1,0,0.15614960068643363,0,0,5
1,0,1,0.16293234896625058,1,0,5
3,0,1,0.05445717323939373,3,2,2
1,0,1,0.05410739813385612,0,0,0
3,1,1,0.029757819776815374,1,1,0
2,1,0,0.020494635090094415,0,0,4
3,0,1,0.015923941091001644,0,0,4
3,1,0,0.015468569817999833,4,2,3
3,0,1,0.016908073949327893,2,0,4
2,0,1,0.020494635090094415,0,0,4
3,0,0,0.09154270340242172,5,2,3
2,0,1,0.1434624456306609,0,0,4
3,0,1,0.028212719478023115,1,0,4
3,1,1,0.11027245763075773,0,0,4
3,0,1,0.014931805565640218,0,0,4
3,0,1,0.015411575213749284,0,0,0
3,0,1,0.015712553569072387,0,0,0
2,1,1,0.056604230248832196,0,2,1
3,1,0,0.024349578357040744,0,0,4
3,0,1,0.017566830077223785,0,0,4
3,1,1,0.018542765081513996,0,0,4
3,1,0,0.015200187691820024,0,0,0
1,0,1,0.09193307740413781,0,0,4
2,1,0,0.020494635090094415,0,0,3
3,1,0,0.030937139635999665,3,0,4
3,0,1,0.06709553154495196,1,3,3
3,0,1,0.015712553569072387,0,0,0
1,1,0,0.5133418122566505,3,2,4
3,0,1,0.015712553569072387,0,0,4
3,0,1,0.015330377421392339,0,0,4
1,0,1,0.11940564777490723,1,0,5
3,0,1,0.04015972542654215,1,2,4
3,0,1,0.014151057562208049,0,0,5
3,0,1,0.015712553569072387,0,0,0
1,0,1,0.06764049365134761,0,0,6
1,1,1,0.12366716556464086,0,1,4
2,1,0,0.04489301019734967,0,1,4
2,0,1,0.050748620223090936,1,0,4
3,0,0,0.015411575213749284,0,0,4
3,0,1,0.015411575213749284,0,0,0
1,0,1,0.15085515328815924,0,1,4
3,0,1,0.016891873428256675,0,0,4
3,0,1,0.015468569817999833,2,0,5
3,0,1,0.015411575213749284,0,0,4
3,1,0,0.014931805565640218,0,0,4
3,1,1,0.015175789316712771,0,0,0
3,0,1,0.015411575213749284,0,0,5
3,1,0,0.04713766070721715,1,0,0
1,0,1,0.10149724044618187,0,0,5
3,0,0,0.028212719478023115,1,0,3
3,0,1,0.015712553569072387,0,0,4
3,0,0,0.019177122834302632,1,0,4
3,0,0,0.028220722145058292,0,0,3
3,0,1,0.015468569817999833,0,0,4
3,0,1,0.015126992566498259,0,0,6
2,0,1,0.04098927018018883,1,0,4
1,0,1,0.4831284260198326,0,1,4
3,0,0,0.06104473451835265,4,2,2
2,0,1,0.1434624456306609,2,0,4
3,0,1,0.015712553569072387,0,0,0
2,0,1,0.058694292654020104,1,0,4
2,1,0,0.025374310111545468,0,0,4
1,0,1,0.15085515328815924,0,1,5
3,1,1,0.021942337075458514,1,0,3
3,0,1,0.015126992566498259,0,0,0
3,1,1,0.01393967004027879,0,0,4
3,1,0,0.04364049521284361,1,1,0
3,0,1,0.013614293309848433,0,0,5
3,0,1,0.015411575213749284,0,0,4
3,0,1,0.013760683560491965,0,0,4
3,0,0,0.028302115124416098,1,0,5
2,1,0,0.050748620223090936,1,0,4
2,0,1,0.025374310111545468,0,0,4
2,0,1,0.02936744577509929,0,0,4
1,1,0,0.051301584996521765,0,2,4
1,0,1,0.10364429745562033,1,0,5
3,0,1,0.01798980030808316,0,0,3
1,0,1,0.15458810467956932,0,0,4
3,0,0,0.029757819776815374,0,2,0
3,1,0,0.015126992566498259,0,0,4
3,1,0,0.030937139635999665,1,0,4
3,0,1,0.013175122557917838,0,0,4
2,0,1,0.022446505098674834,0,0,4
2,0,1,0.07173122281533045,1,1,4
3,1,1,0.015216388212891242,0,0,4
3,0,0,0.06709553154495196,2,2,2
2,0,1,0.050748620223090936,0,2,5
2,0,1,0.025374310111545468,0,0,5
2,0,1,0.02444717185746977,0,0,5
1,1,0,0.12999454257145598,1,0,4
3,0,1,0.015712553569072387,0,0,5
3,0,1,0.028302115124416098,0,2,5
3,0,1,0.014273049437744325,0,0,0
1,0,1,0.11980421963065935,0,1,5
3,1,0,0.015094396337354966,0,0,3
3,0,1,0.015712553569072387,0,0,4
3,0,1,0.016908073949327893,0,0,0
3,0,1,0.13575255909676823,8,2,0
3,0,1,0.031425107138144774,0,1,5
2,1,0,0.030741952635141623,0,0,5
3,0,1,0.015175789316712771,0,0,4
3,0,1,0.016908073949327893,0,0,3
3,0,1,0.07746484096553544,4,1,1
3,1,1,0.04006213192611313,0,2,2
1,1,0,0.10735285047192313,0,1,0
3,0,0,0.05445717323939373,1,4,5
1,0,1,0.050602229972447406,0,0,0
3,0,1,0.11027245763075773,0,0,4
1,0,1,0.06538764528744409,0,0,6
3,0,1,0.056848213999904744,4,1,2
3,1,0,0.021730754366528396,1,1,1
3,0,1,0.015468569817999833,0,0,4
1,0,1,0.05991421140938287,0,0,5
3,0,1,0.015330377421392339,1,1,4
3,0,1,0.04970768794751499,3,1,0
1,0,0,0.05604306762136532,0,0,5
2,0,1,0.025374310111545468,0,0,4
3,0,1,0.0,0,0,5
3,0,0,0.13575255909676823,8,2,0
2,0,1,0.02937564362913533,0,0,0
3,0,1,0.061264319894317944,4,2,2
2,1,1,0.0761229303346364,2,1,1
3,1,0,0.04298993693898376,0,2,2
1,0,1,0.09759350042902103,0,0,0
3,1,0,0.030253985132996517,1,0,0
1,1,1,0.051822148727810165,0,0,5
3,0,1,0.030253985132996517,1,1,5
3,0,1,0.015411575213749284,0,0,5
2,1,0,0.025374310111545468,0,0,4
2,0,1,0.025374310111545468,0,0,4
3,1,0,0.015330377421392339,1,0,4
2,1,1,0.050748620223090936,1,1,2
1,1,0,0.05410739813385612,0,0,5
1,1,0,0.2859895551532101,0,0,5
3,0,1,0.015126992566498259,0,0,0
3,0,1,0.01640390592611157,0,1,5
3,1,0,0.015126992566498259,0,0,0
2,0,0,0.025374310111545468,0,0,4
3,0,1,0.018542765081513996,0,0,4
3,0,1,0.13575255909676823,8,2,0
3,0,1,0.012678957201736696,0,0,4
3,0,1,0.014102260811993537,0,0,5
3,1,1,0.015712553569072387,0,0,4
3,0,0,0.02042143996477265,0,1,2
3,0,1,0.030937139635999665,1,0,4
3,1,1,0.036670757786204655,0,0,4
3,1,0,0.015126992566498259,0,0,3
1,1,1,0.060507970265993034,0,0,5
3,0,1,0.013760683560491965,0,0,4
2,1,0,0.04098927018018883,0,0,5
3,0,1,0.014151057562208049,0,0,4
2,0,1,0.025374310111545468,0,0,4
3,0,1,0.015126992566498259,1,0,0
1,1,0,0.22109807522194713,1,0,4
3,1,0,0.015468569817999833,0,0,4
2,0,1,0.05270049023167135,1,0,5
1,1,0,0.14891148113361488,0,0,4
2,0,1,0.020494635090094415,0,0,4
3,1,1,0.015712553569072387,0,0,3
2,0,1,0.025374310111545468,0,0,4
3,0,1,0.015712553569072387,0,0,5
3,0,1,0.015411575213749284,0,0,0
1,1,1,0.17566830077223786,1,0,5
3,0,1,0.01824998458022693,0,0,4
2,1,1,0.020494635090094415,0,0,4
3,0,1,0.014151057562208049,0,0,4
2,0,1,0.025374310111545468,0,0,4
3,0,0,0.04970768794751499,3,1,0
1,1,0,0.16293234896625058,1,0,5
3,0,1,0.015175789316712771,0,0,4
2,0,1,0.026350245115835676,0,0,5
3,1,0,0.061264319894317944,4,2,2
2,0,1,0.020494635090094415,0,0,4
3,0,0,0.014736618564782174,0,0,0
2,0,1,0.050748620223090936,1,0,5
2,1,0,0.05123658772523604,0,2,2
2,0,1,0.020494635090094415,0,0,4
2,0,1,0.023959204355324663,0,0,4
3,0,0,0.028212719478023115,1,0,0
3,1,0,0.030253985132996517,1,0,0
2,0,1,0.020494635090094415,0,0,4
3,0,1,0.013907073811135496,0,0,4
3,0,1,0.014102260811993537,0,0,4
1,0,1,0.17566830077223786,2,0,5
3,0,0,0.015175789316712771,0,0,4
2,1,0,0.028302115124416098,0,2,4
1,1,1,0.10257896680493714,1,1,5
2,0,1,0.050748620223090936,1,0,5
3,0,1,0.014151057562208049,0,0,0
3,0,0,0.02042143996477265,1,1,4
1,0,1,0.051822148727810165,0,0,6
3,0,1,0.031425107138144774,1,0,4
3,0,0,0.039452172548431745,0,2,5
3,1,0,0.029757819776815374,0,2,4
1,1,0,0.15458810467956932,0,0,0
1,1,0,0.16883675574220638,0,0,4
1,1,0,1.0,0,0,5
2,1,0,0.050748620223090936,0,1,5
3,0,1,0.015126992566498259,0,0,0
3,1,1,0.061264319894317944,4,2,2
1,0,1,0.1554664461834305,1,1,5
1,0,1,0.0,0,0,5
3,0,0,0.015126992566498259,0,0,0
2,0,1,0.020494635090094415,0,0,5
3,0,1,0.07746484096553544,4,1,3
3,1,1,0.015175789316712771,1,0,4
1,1,0,0.2995388511917728,0,1,5
1,1,0,0.2647385704347907,0,0,5
1,0,1,0.060507970265993034,0,0,0
3,1,1,0.0,0,0,4
2,1,0,0.0380614651673182,0,1,5
1,0,1,0.057970539254838485,0,1,5
3,1,0,0.015126992566498259,0,0,0
1,1,0,0.15216446768991498,1,0,6
3,0,0,0.015126992566498259,0,0,5
2,0,1,0.0,0,0,0
3,0,1,0.056848213999904744,4,1,2
3,1,0,0.03952536767375352,1,1,5
3,0,1,0.015126992566498259,0,0,6
3,0,1,0.015330377421392339,0,0,4
3,0,1,0.018542765081513996,0,0,3
3,1,1,0.015712553569072387,0,0,4
1,0,1,0.050748620223090936,0,0,0
3,0,1,0.016908073949327893,0,0,4
3,1,1,0.018542765081513996,0,0,4
3,0,1,0.015411575213749284,0,0,4
2,1,1,0.025374310111545468,0,0,5
3,1,0,0.015126992566498259,0,0,4
1,1,0,0.15390495017656614,0,0,4
1,1,0,0.17777475888549785,1,0,4
2,0,1,0.025130326360472913,0,0,5
3,0,0,0.01727404957593672,0,0,4
3,0,1,0.015411575213749284,0,0,4
1,0,1,0.05410739813385612,0,0,0
3,0,1,0.014110458666029575,0,0,4
